param,value
betavol,0.6
r0,2.5
gentime,7
init_cases,1
recover,2.9
report,6.1
incubation,5.2
outbound_travel,3300
population_travel,1.10E+07
travel_frac,NA
local_rep_prop,0.01
onset_prop,0.16
onset_prop_int,0.47
confirmed_prop,1
report_local,6.1
r0_decline,1
rep_local_var,1000
pre_symp,0
