"date","number"
2019-12-31,29
2020-01-01,35
2020-01-02,40
2020-01-03,46
2020-01-04,53
2020-01-05,59
2020-01-06,59
2020-01-07,59
2020-01-08,59
2020-01-09,52
2020-01-10,44
2020-01-11,39
2020-01-12,39
2020-01-13,41
2020-01-14,37
2020-01-15,41
2020-01-16,48
2020-01-17,84
2020-01-18,153
2020-01-19,226
2020-01-20,315
2020-01-21,401
2020-01-22,466
2020-01-23,530
2020-01-24,587
2020-01-25,619
