param1,param2,param3,lik
0.002,0.75,0.30000000000000004,-148.98270354344368
0.002,0.75,0.35,-147.0270967610553
0.002,0.75,0.4,-146.36291427759147
0.002,0.75,0.45000000000000007,-146.4668580436242
0.002,0.75,0.5,-145.2625200558361
0.002,0.75,0.55,-146.38359520156706
0.002,0.75,0.6,-146.68869201733162
0.002,0.8,0.1,-160.24253173911637
0.002,0.8,0.15000000000000002,-157.477672505883
0.002,0.8,0.2,-152.78294945333272
0.002,0.8,0.25,-150.1032605016323
0.002,0.8,0.30000000000000004,-147.3902874061306
0.002,0.8,0.35,-148.21254729410356
0.002,0.8,0.4,-145.36655248372415
0.002,0.8,0.45000000000000007,-147.2541619681707
0.002,0.8,0.5,-147.32053769602362
0.002,0.8,0.55,-146.10218503444497
0.002,0.8,0.6,-146.19346395773596
0.002,0.8500000000000001,0.1,-159.50455501999244
0.002,0.8500000000000001,0.15000000000000002,-152.21187004691546
0.002,0.8500000000000001,0.2,-149.51872774541818
0.002,0.8500000000000001,0.25,-146.17559356108876
0.002,0.8500000000000001,0.30000000000000004,-146.2005877432751
0.002,0.8500000000000001,0.35,-147.26780356557396
0.002,0.8500000000000001,0.4,-146.5171777059261
0.002,0.8500000000000001,0.45000000000000007,-146.47235626727087
0.002,0.8500000000000001,0.5,-145.6094635940495
0.002,0.8500000000000001,0.55,-144.50014353315385
0.002,0.8500000000000001,0.6,-146.12639573367426
0.002,0.9,0.1,-162.5688046527863
0.002,0.9,0.15000000000000002,-153.2550982031982
0.002,0.9,0.2,-150.04821256769566
0.002,0.9,0.25,-147.66224512317683
0.002,0.9,0.30000000000000004,-146.48960446133844
0.002,0.9,0.35,-146.26540630475904
0.002,0.9,0.4,-145.13620944863658
0.002,0.9,0.45000000000000007,-146.37642980182744
0.002,0.9,0.5,-145.60514246099524
0.002,0.9,0.55,-147.25171276986538
0.002,0.9,0.6,-147.53999264107722
0.002,0.95,0.1,-163.22623999257416
0.002,0.95,0.15000000000000002,-159.7913664779826
0.002,0.95,0.2,-147.90457989855628
0.002,0.95,0.25,-148.25009521773148
0.002,0.95,0.30000000000000004,-146.1527128311456
0.002,0.95,0.35,-147.31022493728295
0.002,0.95,0.4,-145.33968729707652
0.002,0.95,0.45000000000000007,-145.2812588232523
0.002,0.95,0.5,-145.65553374711203
0.002,0.95,0.55,-146.70912953267737
0.002,0.95,0.6,-146.2565222829213
0.002,1,0.1,-169.4439935209544
0.002,1,0.15000000000000002,-153.03238625598834
0.002,1,0.2,-149.27757676418912
0.002,1,0.25,-147.90023322747248
0.002,1,0.30000000000000004,-145.69624394404576
0.002,1,0.35,-145.86946657148667
0.002,1,0.4,-146.92042608835283
0.002,1,0.45000000000000007,-146.3658325509076
0.002,1,0.5,-145.6199703698167
0.002,1,0.55,-147.24582874396918
0.002,1,0.6,-146.31963602092935
0.003,0.5,0.1,-161.73156862247214
0.003,0.5,0.15000000000000002,-149.38636820174474
0.003,0.5,0.2,-145.4150461967276
0.003,0.5,0.25,-142.27366385851582
0.003,0.5,0.30000000000000004,-141.91892109579425
0.003,0.5,0.35,-142.03288693748124
0.003,0.5,0.4,-142.2855373292702
0.003,0.5,0.45000000000000007,-139.5502375130896
0.003,0.5,0.5,-140.2938223171135
0.003,0.5,0.55,-140.2018579619613
0.003,0.5,0.6,-140.60880653697933
0.003,0.55,0.1,-158.66093491286887
0.003,0.55,0.15000000000000002,-145.62951154485057
0.003,0.55,0.2,-143.0404665751944
0.003,0.55,0.25,-141.75474172185648
0.003,0.55,0.30000000000000004,-141.83184058654348
0.003,0.55,0.35,-139.4250635997123
0.003,0.55,0.4,-140.67883999451186
0.003,0.55,0.45000000000000007,-139.82253343512303
0.003,0.55,0.5,-139.73480133097553
0.003,0.55,0.55,-140.38078873212396
0.003,0.55,0.6,-139.57454284742187
0.003,0.6,0.1,-159.78795348758314
0.003,0.6,0.15000000000000002,-159.42008279262416
0.003,0.6,0.2,-142.8864184732716
0.003,0.6,0.25,-141.2980377731995
0.003,0.6,0.30000000000000004,-139.99959207095634
0.003,0.6,0.35,-140.55615920932803
0.003,0.6,0.4,-139.68984063356146
0.003,0.6,0.45000000000000007,-139.6252193719913
0.003,0.6,0.5,-139.47094481325382
0.003,0.6,0.55,-139.71072082230057
0.003,0.6,0.6,-139.32696550309765
0.003,0.65,0.1,-167.51579088042143
0.003,0.65,0.15000000000000002,-145.2795657692925
0.003,0.65,0.2,-144.1362091197327
0.003,0.65,0.25,-141.4992448925022
0.003,0.65,0.30000000000000004,-140.30921821922334
0.003,0.65,0.35,-140.05453134752588
0.003,0.65,0.4,-138.48750502282286
0.003,0.65,0.45000000000000007,-139.58563071854587
0.003,0.65,0.5,-139.1985810990368
0.003,0.65,0.55,-139.86362832792446
0.003,0.65,0.6,-139.0845676913674
0.003,0.7,0.1,-154.05952354719136
0.003,0.7,0.15000000000000002,-162.12583312404513
0.003,0.7,0.2,-141.18534172099692
0.003,0.7,0.25,-140.39938945055252
0.003,0.7,0.30000000000000004,-139.50740621274372
0.003,0.7,0.35,-140.49311054872572
0.003,0.7,0.4,-140.19568118857
0.003,0.7,0.45000000000000007,-138.97893740881005
0.003,0.7,0.5,-139.28349593699346
0.003,0.7,0.55,-139.52008939166097
0.003,0.7,0.6,-139.18825396059725
0.003,0.75,0.1,-162.76402935161747
0.003,0.75,0.15000000000000002,-169.89114131084307
0.003,0.75,0.2,-142.4181018776847
0.003,0.75,0.25,-139.28746930117438
0.003,0.75,0.30000000000000004,-138.1148269297238
0.003,0.75,0.35,-139.79754620710798
0.003,0.75,0.4,-139.36960448575593
0.003,0.75,0.45000000000000007,-138.76487229358884
0.003,0.75,0.5,-139.0766828365699
0.003,0.75,0.55,-138.51989086817986
0.003,0.75,0.6,-139.4139848375262
0.003,0.8,0.1,-149.0857335473172
0.003,0.8,0.15000000000000002,-147.53479312078696
0.003,0.8,0.2,-140.4205173534006
0.003,0.8,0.25,-140.15552171631782
0.003,0.8,0.30000000000000004,-139.02639658393485
0.003,0.8,0.35,-137.33764952461456
0.003,0.8,0.4,-139.48218705178
0.003,0.8,0.45000000000000007,-137.68005352502922
0.003,0.8,0.5,-139.73175723780764
0.003,0.8,0.55,-139.1655586341522
0.003,0.8,0.6,-139.4842608548559
0.003,0.8500000000000001,0.1,-156.01852976343878
0.003,0.8500000000000001,0.15000000000000002,-142.33339143852703
0.003,0.8500000000000001,0.2,-140.24410277942087
0.003,0.8500000000000001,0.25,-139.63017070996227
0.003,0.8500000000000001,0.30000000000000004,-140.20722445167246
0.003,0.8500000000000001,0.35,-138.80674773277508
0.003,0.8500000000000001,0.4,-138.50455191318758
0.003,0.8500000000000001,0.45000000000000007,-137.94528459457786
0.003,0.8500000000000001,0.5,-140.08518470457892
0.003,0.8500000000000001,0.55,-138.38684077144586
0.003,0.8500000000000001,0.6,-138.5141154882184
0.003,0.9,0.1,-143.74728868310626
