param1,param2,lik
0.012,0.725,-286.0478632449416
0.012,0.75,-284.7116035562701
0.012,0.775,-286.1690969107473
0.012,0.8,-284.9409891083921
0.012,0.825,-283.2215783259977
0.012,0.8500000000000001,-283.34796898279933
0.012,0.875,-282.9359158758577
0.012,0.9,-282.3285289300434
0.012,0.925,-282.79600471816246
0.012,0.95,-281.4738272521267
0.012,0.9750000000000001,-282.131539040581
0.012,1,-281.06945349473204
0.014,0.5,-294.05966834593664
0.014,0.525,-292.30121760619585
0.014,0.55,-291.11422664793196
0.014,0.575,-291.6695979321988
0.014,0.6,-290.17033733950444
0.014,0.625,-289.01759948620185
0.014,0.65,-288.73515941043
0.014,0.675,-288.5331204898873
0.014,0.7,-285.7253915883378
0.014,0.725,-286.3538897225442
0.014,0.75,-286.3924588176987
0.014,0.775,-285.1113558576552
0.014,0.8,-284.9093911425197
0.014,0.825,-283.393109320766
0.014,0.8500000000000001,-284.0276451454422
0.014,0.875,-282.4185475783371
0.014,0.9,-282.81066217547186
0.014,0.925,-282.6805853119172
0.014,0.95,-281.39356111625574
0.014,0.9750000000000001,-281.6164407325593
0.014,1,-281.0074978278534
0.016,0.5,-293.48041626453494
0.016,0.525,-294.98554074656175
0.016,0.55,-291.4604528383172
0.016,0.575,-290.9088177265602
0.016,0.6,-288.01311162009705
0.016,0.625,-288.7435140063026
0.016,0.65,-288.5413156149101
0.016,0.675,-286.7266758772986
0.016,0.7,-Inf
0.016,0.725,-286.34923329538
0.016,0.75,-284.9000546338845
0.016,0.775,-284.7550085602817
0.016,0.8,-284.98765558659596
0.016,0.825,-284.7733112543058
0.016,0.8500000000000001,-284.4009877220025
0.016,0.875,-284.3513554999046
0.016,0.9,-283.7243195402435
0.016,0.925,-281.9187602440421
0.016,0.95,-282.78653281121285
0.016,0.9750000000000001,-281.4926396543934
0.016,1,-282.2069120255593
0.018000000000000002,0.5,-292.16354835390877
0.018000000000000002,0.525,-293.040737101584
0.018000000000000002,0.55,-290.8993629254653
0.018000000000000002,0.575,-291.1898950300155
0.018000000000000002,0.6,-289.7081358084384
0.018000000000000002,0.625,-286.7511864701642
0.018000000000000002,0.65,-288.35671868522417
0.018000000000000002,0.675,-287.69647234516196
0.018000000000000002,0.7,-287.6377813303814
0.018000000000000002,0.725,-287.34164191575144
0.018000000000000002,0.75,-286.09666437741464
0.018000000000000002,0.775,-285.324201317126
0.018000000000000002,0.8,-285.0204794272295
0.018000000000000002,0.825,-283.2362059316759
0.018000000000000002,0.8500000000000001,-285.18966506609496
0.018000000000000002,0.875,-285.69069323624484
0.018000000000000002,0.9,-284.43027145845963
0.018000000000000002,0.925,-283.87645355673016
0.018000000000000002,0.95,-282.29200340001364
0.018000000000000002,0.9750000000000001,-283.09443410870114
0.018000000000000002,1,-282.20452981358216
0.020000000000000004,0.5,-292.64033855930376
0.020000000000000004,0.525,-291.24102838394305
0.020000000000000004,0.55,-290.7432433650521
0.020000000000000004,0.575,-292.46621065671485
0.020000000000000004,0.6,-Inf
0.020000000000000004,0.625,-288.8326880019849
0.020000000000000004,0.65,-288.2645754196381
0.020000000000000004,0.675,-287.8386390697776
0.020000000000000004,0.7,-287.54299911735507
0.020000000000000004,0.725,-286.3428734216341
0.020000000000000004,0.75,-286.7427027345832
0.020000000000000004,0.775,-286.32300298866556
0.020000000000000004,0.8,-286.52155069587195
0.020000000000000004,0.825,-285.31339524051486
0.020000000000000004,0.8500000000000001,-284.9759556004871
0.020000000000000004,0.875,-285.3122639439957
0.020000000000000004,0.9,-285.1083885344086
0.020000000000000004,0.925,-283.9728787787073
0.020000000000000004,0.95,-283.88996885225015
0.020000000000000004,0.9750000000000001,-284.39450372466763
0.020000000000000004,1,-283.86975907323426
0.022,0.5,-293.0704987866808
0.022,0.525,-292.31412522956055
0.022,0.55,-291.3102221913539
