label, risk 
Thailand,0.15
Japan,0.12
Taiwan,0.07
Korea,0.07
USA,0.06
Singapore,0.04
Malaysia,0.05
Vietnam,0.03
Australia,0.03
Philippines,0.02
Indonesia,0.03
Cambodia,0.02
United Kingdom,0.01
Canada,0.02
Russian Federation,0.01
Germany,0.02
United Arab Emirates,0.01
India,0.79
Italy,0.01
France,0.01
New Zealand,0.89
Myanmar,0.32
Spain,0.78
Lao,0.00001
Sri Lanka,0.41
Maldives,0.37
Nepal,0.00001
