param1,param2,param3,lik
0.002,0.95,0.2,-148.1652952746444
0.002,0.95,0.25,-147.64764894869325
0.002,0.95,0.30000000000000004,-146.63925414905924
0.002,0.95,0.35,-145.10794933793147
0.002,0.95,0.4,-145.6621262031054
0.002,0.95,0.45000000000000007,-146.49045458692558
0.002,0.95,0.5,-145.537655718044
0.002,0.95,0.55,-145.79546123403588
0.002,0.95,0.6,-147.09508591336635
0.002,1,0.1,-160.10296180500717
0.002,1,0.15000000000000002,-150.9437124601763
0.002,1,0.2,-148.79818177650805
0.002,1,0.25,-147.7468814650564
0.002,1,0.30000000000000004,-145.73665781048544
0.002,1,0.35,-147.4811734957559
0.002,1,0.4,-146.46676759347656
0.002,1,0.45000000000000007,-147.11919342063572
0.002,1,0.5,-146.20896955249918
0.002,1,0.55,-146.0896593662016
0.002,1,0.6,-146.8100979358788
0.003,0.5,0.1,-159.46003360025964
0.003,0.5,0.15000000000000002,-145.88403931253822
0.003,0.5,0.2,-143.5996662035784
0.003,0.5,0.25,-142.12644212767572
0.003,0.5,0.30000000000000004,-140.66231728604401
0.003,0.5,0.35,-140.63900724919222
0.003,0.5,0.4,-139.82125932763404
0.003,0.5,0.45000000000000007,-139.80963729437184
0.003,0.5,0.5,-139.50352813026672
0.003,0.5,0.55,-139.62918403694124
0.003,0.5,0.6,-139.86802142637657
0.003,0.55,0.1,-156.18321486043902
0.003,0.55,0.15000000000000002,-146.3346372201715
0.003,0.55,0.2,-141.34728989021204
0.003,0.55,0.25,-142.11684975578748
0.003,0.55,0.30000000000000004,-141.1417848734344
0.003,0.55,0.35,-140.30751737163183
0.003,0.55,0.4,-138.2449839499589
0.003,0.55,0.45000000000000007,-139.16403462538563
0.003,0.55,0.5,-138.8156374663804
0.003,0.55,0.55,-140.03860188523555
0.003,0.55,0.6,-140.907840646524
0.003,0.6,0.1,-154.9800038942364
0.003,0.6,0.15000000000000002,-148.7362548226788
0.003,0.6,0.2,-145.2615063169991
0.003,0.6,0.25,-140.52686483194515
0.003,0.6,0.30000000000000004,-138.91706270591465
0.003,0.6,0.35,-140.08173204929494
0.003,0.6,0.4,-138.79504480803718
0.003,0.6,0.45000000000000007,-139.7011248727071
0.003,0.6,0.5,-139.5787336968512
0.003,0.6,0.55,-139.44440023695967
0.003,0.6,0.6,-140.59590677676647
0.003,0.65,0.1,-184.48451584290075
0.003,0.65,0.15000000000000002,-148.23630746939102
0.003,0.65,0.2,-142.4782499230609
0.003,0.65,0.25,-142.32084679460365
0.003,0.65,0.30000000000000004,-139.63202416193707
0.003,0.65,0.35,-140.11115952568622
0.003,0.65,0.4,-139.80537516127583
0.003,0.65,0.45000000000000007,-139.58451574580891
0.003,0.65,0.5,-139.1557884023179
0.003,0.65,0.55,-138.70430831949824
0.003,0.65,0.6,-140.8118125396091
0.003,0.7,0.1,-152.97574912264525
0.003,0.7,0.15000000000000002,-145.49970778533526
0.003,0.7,0.2,-141.88122867642892
0.003,0.7,0.25,-141.64958227491178
0.003,0.7,0.30000000000000004,-138.65286733058247
0.003,0.7,0.35,-139.65075066878904
0.003,0.7,0.4,-139.5626087019395
0.003,0.7,0.45000000000000007,-138.3355328220802
0.003,0.7,0.5,-137.6467064226356
0.003,0.7,0.55,-138.57355562154817
0.003,0.7,0.6,-138.62481111029462
0.003,0.75,0.1,-160.620152310989
0.003,0.75,0.15000000000000002,-143.74778075660623
0.003,0.75,0.2,-144.99763260407883
0.003,0.75,0.25,-139.54681797068832
0.003,0.75,0.30000000000000004,-140.4430004177563
0.003,0.75,0.35,-139.74272396053226
0.003,0.75,0.4,-138.4796685988738
0.003,0.75,0.45000000000000007,-138.99421867112375
0.003,0.75,0.5,-139.35319831283618
0.003,0.75,0.55,-138.92675803614037
0.003,0.75,0.6,-138.58701627836916
0.003,0.8,0.1,-151.30413381948
0.003,0.8,0.15000000000000002,-147.82125941364126
0.003,0.8,0.2,-141.86462782206536
0.003,0.8,0.25,-138.9791931044066
0.003,0.8,0.30000000000000004,-138.95597573356235
0.003,0.8,0.35,-139.01594593236445
0.003,0.8,0.4,-139.46417191626938
0.003,0.8,0.45000000000000007,-138.62495529278982
0.003,0.8,0.5,-139.7963784999837
0.003,0.8,0.55,-137.85807641480972
0.003,0.8,0.6,-138.74092120551705
0.003,0.8500000000000001,0.1,-154.20069971489545
0.003,0.8500000000000001,0.15000000000000002,-147.25410076405768
0.003,0.8500000000000001,0.2,-139.73454155157583
0.003,0.8500000000000001,0.25,-139.3722419284361
0.003,0.8500000000000001,0.30000000000000004,-138.67394091393425
0.003,0.8500000000000001,0.35,-139.43908004618572
0.003,0.8500000000000001,0.4,-138.10083896974635
0.003,0.8500000000000001,0.45000000000000007,-138.49594285747804
0.003,0.8500000000000001,0.5,-138.9448484761549
0.003,0.8500000000000001,0.55,-138.65881696968518
0.003,0.8500000000000001,0.6,-139.05744475810525
0.003,0.9,0.1,-145.3496920287003
0.003,0.9,0.15000000000000002,-145.34033783252988
0.003,0.9,0.2,-140.92957838655917
0.003,0.9,0.25,-140.55691930544202
0.003,0.9,0.30000000000000004,-138.47063321871076
0.003,0.9,0.35,-138.63306647151114
0.003,0.9,0.4,-137.62729510081874
0.003,0.9,0.45000000000000007,-138.2250464104348
0.003,0.9,0.5,-138.27102495460628
0.003,0.9,0.55,-138.8859090453165
0.003,0.9,0.6,-138.06129568293483
0.003,0.95,0.1,-154.49711941175633
0.003,0.95,0.15000000000000002,-143.4598375538195
0.003,0.95,0.2,-140.74431079190828
0.003,0.95,0.25,-138.65212319522067
0.003,0.95,0.30000000000000004,-139.6774172574792
0.003,0.95,0.35,-138.01946028110206
0.003,0.95,0.4,-137.7982933087713
0.003,0.95,0.45000000000000007,-137.8384064867713
0.003,0.95,0.5,-139.47636809979485
0.003,0.95,0.55,-138.02623969295178
0.003,0.95,0.6,-138.2909174060551
0.003,1,0.1,-150.15700666412317
0.003,1,0.15000000000000002,-142.90812279179016
0.003,1,0.2,-141.9154946230551
0.003,1,0.25,-138.68601183302349
0.003,1,0.30000000000000004,-138.73555352717517
0.003,1,0.35,-138.77943604979316
0.003,1,0.4,-138.31798707113524
0.003,1,0.45000000000000007,-137.9089390648553
0.003,1,0.5,-136.6465229901334
0.003,1,0.55,-138.16905891266782
0.003,1,0.6,-138.26233233879202
0.004,0.5,0.1,-153.52441271180913
0.004,0.5,0.15000000000000002,-143.40851886173095
0.004,0.5,0.2,-142.6610001684179
0.004,0.5,0.25,-138.82375274117538
0.004,0.5,0.30000000000000004,-138.52342652432918
0.004,0.5,0.35,-139.7567557488034
0.004,0.5,0.4,-137.6102605629132
0.004,0.5,0.45000000000000007,-137.56554706914085
0.004,0.5,0.5,-138.22950985443305
0.004,0.5,0.55,-136.4848371954991
0.004,0.5,0.6,-137.91295521570186
0.004,0.55,0.1,-156.26985762211808
0.004,0.55,0.15000000000000002,-143.10306379114127
0.004,0.55,0.2,-142.60162239062493
0.004,0.55,0.25,-138.72403732003966
0.004,0.55,0.30000000000000004,-138.348699401329
0.004,0.55,0.35,-139.03305779631563
