date,number
2019-12-29,1
2019-12-30,0
2019-12-31,1
2020-01-01,2
2020-01-02,1
2020-01-03,3
2020-01-04,4
2020-01-05,3
2020-01-06,3
2020-01-07,1
2020-01-08,2
2020-01-09,5
2020-01-10,6
2020-01-11,8
2020-01-12,3
2020-01-13,8
2020-01-14,8
2020-01-15,5
2020-01-16,17
2020-01-17,7
2020-01-18,13
2020-01-19,16
2020-01-20,20
2020-01-21,15
2020-01-22,11
2020-01-23,1
