param,value
betavol,0.4
r0,2.5
gentime,7
init_cases,1
recover,2.9
report,6.1
incubation,5.8
outbound_travel,3300
population_travel,1.10E+07
travel_frac,NA
local_rep_prop,0.015
onset_prop,0.16
report_local,6.1
